BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,
crested_newt.nlogo,,,,,,,,,,,,
experiment,,,,,,,,,,,,
09/23/2021 21:47:03:176 +0200,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
0,399,0,399,,,,,,,,,
[run number],capacity,mean-juvenile-mortality-prob,mortality-decrease-with-buffer,number-of-startind,movement-energy,cropland-movement-cost,woodland-movement-cost,mean-number-of-female-offspring,scenario,mean-adult-mortality-prob,[step],count turtles
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,33,41
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,33,90
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,40,47
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,43,31
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,41,50
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,30,63
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,34,43
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,30,62
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,35,53
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,44,32
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,43,61
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,42,55
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,36,62
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,36,67
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,45,45
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,31,71
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,31,52
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,34,74
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,44,48
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,37,51
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,43,59
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,37,69
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,32,65
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,46,38
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,38,70
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,45,51
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,35,68
