"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"experiment"
"10/25/2021 17:59:42:969 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","number-of-startind","movement-in-forest","max-timesteps","current-scenario","cropland-movement-cost","angle-for-viewing-ponds-and-woodland","woodland-movement-cost","mortality-decrease-with-buffer","distance-for-viewing-ponds-and-woodland","movement-energy","one-pond-without-starting-newts","both-scenarios","mean-number-of-female-offspring","mean-adult-mortality-prob","[step]","newts-buffer","newts-corridor","newts-corridor-pond1","newts-buffer-pond1","occupied-ponds-corridor","occupied-ponds-buffer"
"130","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","71","61","0","0","6","6"
"131","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","51","63","6","7","7","6"
"133","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","59","67","8","8","7","7"
"132","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","46","63","11","11","7","6"
"134","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","59","41","1","2","6","7"
"135","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","56","53","8","6","6","6"
"136","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","46","52","8","0","7","5"
"137","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","55","66","8","11","7","6"
"139","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","59","57","8","13","7","6"
"138","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","60","60","4","0","7","6"
"140","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","3","700","false","true","5","0.2","99","81","65","12","10","7","7"
"141","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","49","51","9","7","6","6"
"142","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","51","64","13","5","7","6"
"143","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","57","65","9","9","6","7"
"144","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","63","41","10","10","7","7"
"145","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","53","58","7","9","7","7"
"146","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","66","67","9","13","7","7"
"147","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","57","71","9","13","7","6"
"150","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","40","54","11","7","6","6"
"148","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","56","60","8","8","7","6"
"149","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","70","51","6","13","7","7"
"151","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","71","63","13","15","6","7"
"152","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","88","48","8","12","6","7"
"153","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","45","52","9","12","7","5"
"155","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","65","55","0","10","6","7"
"158","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","52","58","14","11","6","6"
"156","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","89","63","8","13","7","7"
"154","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","67","61","11","15","7","7"
"162","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","32","31","5","0","4","5"
