,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
71,134.0,84.0,7.0,6.0
72,17.0,35.0,2.0,4.0
73,14.0,34.0,1.0,5.0
74,0.0,0.0,0.0,0.0
75,32.0,47.0,4.0,5.0
76,0.0,14.0,0.0,4.0
77,15.0,18.0,2.0,4.0
78,20.0,20.0,3.0,4.0
79,29.0,4.0,5.0,2.0
80,15.0,47.0,3.0,6.0
81,21.0,16.0,2.0,2.0
82,31.0,28.0,4.0,6.0
83,3.0,13.0,1.0,3.0
84,0.0,0.0,0.0,0.0
85,11.0,28.0,2.0,6.0
86,0.0,0.0,0.0,0.0
87,10.0,0.0,2.0,0.0
88,5.0,3.0,2.0,1.0
89,19.0,7.0,4.0,2.0
90,3.0,0.0,1.0,0.0
91,0.0,11.0,0.0,2.0
92,1.0,0.0,1.0,0.0
93,16.0,3.0,2.0,1.0
94,1.0,10.0,1.0,3.0
95,8.0,0.0,2.0,0.0
96,61.0,80.0,6.0,7.0
97,44.0,87.0,4.0,7.0
98,66.0,66.0,5.0,6.0
99,62.0,75.0,5.0,7.0
100,77.0,85.0,6.0,7.0
101,71.0,78.0,6.0,6.0
102,75.0,79.0,7.0,7.0
103,25.0,73.0,3.0,7.0
104,70.0,62.0,6.0,7.0
105,64.0,39.0,6.0,5.0
106,81.0,67.0,6.0,7.0
107,45.0,93.0,5.0,7.0
108,98.0,68.0,7.0,6.0
109,87.0,82.0,7.0,7.0
110,82.0,79.0,7.0,7.0
111,44.0,84.0,6.0,7.0
112,86.0,84.0,7.0,7.0
113,79.0,90.0,7.0,7.0
114,84.0,79.0,6.0,7.0
115,93.0,69.0,7.0,6.0
116,86.0,83.0,7.0,7.0
117,107.0,74.0,7.0,7.0
118,91.0,61.0,7.0,7.0
119,96.0,88.0,7.0,7.0
0,123.0,88.0,7.0,7.0
1,99.0,67.0,7.0,6.0
2,114.0,75.0,7.0,7.0
3,126.0,71.0,7.0,7.0
4,86.0,11.0,7.0,3.0
5,122.0,72.0,7.0,7.0
6,102.0,53.0,7.0,6.0
7,114.0,81.0,7.0,7.0
8,124.0,57.0,7.0,6.0
9,127.0,103.0,7.0,7.0
10,138.0,71.0,7.0,7.0
11,122.0,45.0,7.0,6.0
12,152.0,93.0,7.0,7.0
13,131.0,85.0,7.0,7.0
14,118.0,55.0,6.0,4.0
15,141.0,87.0,7.0,6.0
16,149.0,76.0,7.0,7.0
17,167.0,95.0,7.0,7.0
18,123.0,88.0,7.0,6.0
19,146.0,78.0,7.0,5.0
20,143.0,40.0,7.0,5.0
21,48.0,30.0,2.0,2.0
22,159.0,81.0,7.0,5.0
23,130.0,96.0,7.0,7.0
24,23.0,0.0,5.0,0.0
