"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"scenarios"
"09/23/2021 22:58:44:593 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"143","30","0.45","0","50","750","5","1","2.5","buffers","0.18","100","46","5","8","12","0","0","1","10","15"
"141","30","0.45","0","50","750","5","1","2.5","buffers","0.18","100","52","6","3","9","0","7","8","16","9"
"144","30","0.45","0","50","750","5","1","2.5","buffers","0.18","100","45","6","9","7","0","10","5","11","3"
"145","30","0.45","0","50","750","5","1","2.5","buffers","0.18","100","29","4","3","14","0","7","0","0","5"
"140","30","0.45","0","50","700","5","1","2.5","corridors","0.18","100","21","4","0","12","2","0","2","5","0"
"139","30","0.45","0","50","700","5","1","2.5","corridors","0.18","100","52","5","0","20","4","0","9","4","15"
"146","30","0.45","0","50","750","5","1","2.5","corridors","0.18","100","39","6","0","9","10","4","1","9","6"
"148","30","0.45","0","50","750","5","1","2.5","corridors","0.18","100","46","5","0","16","4","0","12","8","6"
"142","30","0.45","0","50","750","5","1","2.5","buffers","0.18","100","47","7","7","10","2","1","1","14","12"
"147","30","0.45","0","50","750","5","1","2.5","corridors","0.18","100","51","6","5","4","18","0","9","10","5"
"149","30","0.45","0","50","750","5","1","2.5","corridors","0.18","100","66","7","1","10","3","12","8","22","10"
"153","30","0.45","0","50","800","5","1","2.5","buffers","0.18","100","15","3","0","0","3","0","0","5","7"
"151","30","0.45","0","50","800","5","1","2.5","buffers","0.18","100","51","6","7","8","8","0","9","12","7"
"152","30","0.45","0","50","800","5","1","2.5","buffers","0.18","100","47","7","10","2","2","5","9","13","6"
"150","30","0.45","0","50","750","5","1","2.5","corridors","0.18","100","61","6","8","20","5","0","3","13","12"
"155","30","0.45","0","50","800","5","1","2.5","buffers","0.18","100","49","7","5","8","14","1","7","13","1"
"154","30","0.45","0","50","800","5","1","2.5","buffers","0.18","100","19","5","0","7","3","1","5","3","0"
"157","30","0.45","0","50","800","5","1","2.5","corridors","0.18","100","54","6","9","17","2","4","0","14","8"
"156","30","0.45","0","50","800","5","1","2.5","corridors","0.18","100","68","6","0","13","8","5","12","17","13"
"159","30","0.45","0","50","800","5","1","2.5","corridors","0.18","100","62","6","2","12","11","0","16","12","9"
"160","30","0.45","0","50","800","5","1","2.5","corridors","0.18","100","24","4","9","5","3","0","7","0","0"
"158","30","0.45","0","50","800","5","1","2.5","corridors","0.18","100","51","7","9","10","2","13","4","2","11"
"162","30","0.45","0","50","850","5","1","2.5","buffers","0.18","100","51","6","0","12","3","5","18","4","9"
"161","30","0.45","0","50","850","5","1","2.5","buffers","0.18","100","35","7","4","9","7","4","4","5","2"
"163","30","0.45","0","50","850","5","1","2.5","buffers","0.18","100","66","7","16","8","1","8","16","11","6"
"165","30","0.45","0","50","850","5","1","2.5","buffers","0.18","100","53","7","8","15","3","5","9","6","7"
"167","30","0.45","0","50","850","5","1","2.5","corridors","0.18","100","50","6","0","13","7","2","1","15","12"
"164","30","0.45","0","50","850","5","1","2.5","buffers","0.18","100","42","5","0","6","12","8","8","8","0"
"166","30","0.45","0","50","850","5","1","2.5","corridors","0.18","100","50","5","9","11","10","0","4","16","0"
"169","30","0.45","0","50","850","5","1","2.5","corridors","0.18","100","67","6","0","20","6","16","3","15","7"
"168","30","0.45","0","50","850","5","1","2.5","corridors","0.18","100","55","7","8","9","11","3","1","14","9"
