,mortality_decrease,movement_energy,corridor_netws,corridor_year,buffer_netws,buffer_year
169,0.1033333333333333,1000.0,66.0,2.0,61.0,7.0
170,0.1188888888888888,200.0,59.0,1.0,52.0,-999.0
171,0.1188888888888888,288.8888888888889,69.0,2.0,55.0,-999.0
172,0.1188888888888888,377.77777777777777,41.0,3.0,43.0,30.0
173,0.1188888888888888,466.6666666666666,52.0,-999.0,22.0,-999.0
174,0.1188888888888888,555.5555555555555,60.0,2.0,48.0,-999.0
175,0.1188888888888888,644.4444444444445,64.0,2.0,62.0,7.0
176,0.1188888888888888,733.3333333333333,64.0,2.0,42.0,3.0
177,0.1188888888888888,822.2222222222222,65.0,1.0,54.0,3.0
178,0.1188888888888888,911.1111111111112,63.0,2.0,55.0,2.0
179,0.1188888888888888,1000.0,51.0,2.0,58.0,2.0
180,0.1344444444444444,200.0,66.0,2.0,63.0,-999.0
181,0.1344444444444444,288.8888888888889,46.0,2.0,65.0,-999.0
182,0.1344444444444444,377.77777777777777,65.0,2.0,69.0,-999.0
183,0.1344444444444444,466.6666666666666,55.0,3.0,64.0,35.0
184,0.1344444444444444,555.5555555555555,47.0,2.0,52.0,-999.0
185,0.1344444444444444,644.4444444444445,44.0,3.0,61.0,12.0
186,0.1344444444444444,733.3333333333333,43.0,2.0,60.0,3.0
187,0.1344444444444444,822.2222222222222,51.0,9.0,64.0,13.0
188,0.1344444444444444,911.1111111111112,44.0,2.0,60.0,2.0
189,0.1344444444444444,1000.0,48.0,3.0,64.0,2.0
190,0.15,200.0,61.0,3.0,69.0,10.0
191,0.15,288.8888888888889,41.0,2.0,46.0,-999.0
192,0.15,377.77777777777777,47.0,2.0,67.0,47.0
193,0.15,466.6666666666666,50.0,4.0,52.0,5.0
194,0.15,555.5555555555555,67.0,2.0,61.0,14.0
195,0.15,644.4444444444445,64.0,2.0,64.0,12.0
196,0.15,733.3333333333333,65.0,2.0,72.0,17.0
197,0.15,822.2222222222222,58.0,2.0,61.0,2.0
198,0.15,911.1111111111112,53.0,7.0,56.0,3.0
199,0.15,1000.0,67.0,2.0,46.0,29.0
200,0.01,200.0,59.0,2.0,28.0,-999.0
201,0.01,288.8888888888889,45.0,3.0,26.0,17.0
202,0.01,377.77777777777777,61.0,2.0,30.0,7.0
203,0.01,466.6666666666666,45.0,2.0,50.0,19.0
204,0.01,555.5555555555555,40.0,3.0,40.0,19.0
205,0.01,644.4444444444445,55.0,2.0,43.0,49.0
206,0.01,733.3333333333333,48.0,3.0,43.0,9.0
207,0.01,822.2222222222222,62.0,2.0,62.0,2.0
208,0.01,911.1111111111112,51.0,5.0,28.0,11.0
209,0.01,1000.0,55.0,2.0,39.0,20.0
210,0.0255555555555555,200.0,53.0,2.0,12.0,-999.0
211,0.0255555555555555,288.8888888888889,63.0,-999.0,47.0,-999.0
212,0.0255555555555555,377.77777777777777,43.0,-999.0,51.0,-999.0
213,0.0255555555555555,466.6666666666666,68.0,2.0,57.0,4.0
214,0.0255555555555555,555.5555555555555,62.0,2.0,57.0,16.0
215,0.0255555555555555,644.4444444444445,59.0,6.0,56.0,2.0
216,0.0255555555555555,733.3333333333333,61.0,4.0,54.0,9.0
217,0.0255555555555555,822.2222222222222,55.0,4.0,66.0,2.0
